username,userid,profile_location,created_at,text,retweet_count,source,coordinates
flipboitamidles (DAMN%),19516129,"Pomona, CA",2023-01-22 06:06:55,if you’re in Seattle pull up to Neumos for @BTOCollective_ rn!!!,1,Twitter for iPhone,
Rob Quigley 🇺🇸,18814878,Los Angeles,2023-01-22 06:00:28,@richjmadrid Can you miss an “insane” amount of throws/reads while leading the league in Pass Rating(119)? If you’r… https://t.co/F3dAkDCVTB,0,Twitter for iPhone,
L.A. Suiter,1400560497536032770,Los Angeles,2023-01-22 05:59:52,"@LeonHWagner @bouffantbecky I know a lot of people who went through that. 6.7, and close to L.A. – much closer than… https://t.co/YMWJ2zaFem",0,Twitter for Android,
La’Mario Claiborne,1404869361379155969,"Los Angeles, CA",2023-01-22 05:58:57,Show some love @UW @UW_Football @scotthuffUW we won Congratulations to the team happy to be apart of greatness with… https://t.co/KKEkIe6kXf,22,Twitter for iPhone,
The Habitant,1549222480228757504,"Ontario, CA",2023-01-22 05:47:34,@SoFreshNSoClean @BigFlamesGuy1 @nucko69 A centre duo of Beniers-Wright would be great if everything went right for… https://t.co/ofuAUeEJIR,0,Twitter for iPhone,
The Habitant,1549222480228757504,"Ontario, CA",2023-01-22 05:46:47,"@SoFreshNSoClean @BigFlamesGuy1 @nucko69 Give up what lol, you’re getting emotional for no reason. Horvat makes thi… https://t.co/BrYYUrxSyM",0,Twitter for iPhone,
The Habitant,1549222480228757504,"Ontario, CA",2023-01-22 05:43:36,@SoFreshNSoClean @BigFlamesGuy1 @nucko69 Also most teams that pick in the top 5 don’t end up becoming contenders th… https://t.co/UlapepwWUH,0,Twitter for iPhone,
echod,2805948976,"long beach, ca",2023-01-22 05:33:12,"my heart is so fkn full rn. there’s people who flew out from MICHIGAN for our @BTOCollective_ Seattle show 😭💙

brb… https://t.co/8O9gjDDuxC",6,Twitter for iPhone,
seedyourbrain,1434670954408386567,"Los Angeles, CA",2023-01-22 05:31:51,"@GrandSalamiSC @cj_cady Russell was good at NC state, great at Wisconsin and excellent for a few years in Seattle,… https://t.co/91gtxPs4bJ",0,Twitter for iPhone,
Jas,2986314157,"Los Angeles, CA",2023-01-22 05:22:50,last thought (maybe): so we just not gon head back to seattle? the supersonics was a time. does shaun kemp even hav… https://t.co/cynxETm9dE,0,Twitter for iPhone,
"Lisa, Normal Venting",3160280684,"Los Angeles, CA",2023-01-22 05:22:27,"The American President, Sleepless I Seattle, You’ve Got Mail. https://t.co/wyn2Jt0u8Y",0,Twitter for iPhone,
Teresa🖤4,1316492060023681026,"Los Angeles, CA",2023-01-22 05:09:45,"I don’t have just 3 tbh 
4- The Masonic SF 
5- Seattle (see pinned) 
6- 1D all 3 dates Rose Bowl 2014 https://t.co/yYEMARyohO",0,Twitter for iPhone,
Jesse Thorn 🤷‍♂️ (he/him),5611152,Los Angeles,2023-01-22 04:33:47,"If you’re a journalist and you want to cover #jjho’s live shows, drop me a line. We’re leaving Friday and heading t… https://t.co/TBbzhAQaMX",1,Twitter Web App,
Redux,1490775524750155778,Los Angeles CA,2023-01-22 04:12:02,@bosschonk @Chemgrass @TheGenCatton @redbikemaster @Shawn07840240 @TommysDesktop @HuffPost Are you ashamed...? I me… https://t.co/dBnjyoSdqV,0,Twitter Web App,
Kemi Marie,1176636037,"Los Angeles, CA",2023-01-22 04:01:57,seattle has had me WASHED tf out for the month i’ve been here. this is before vs after. i did it on my face too. i… https://t.co/SZkWWmtxgU,0,Twitter for iPhone,
Bruce,2379011534,"Los Angeles, CA",2023-01-22 03:45:46,"@stillgray I love Atlanta, one of the last remaining unwoke large cities in the US. Lol, dont let them get to you A… https://t.co/rHkhjanUIn",0,Twitter for iPhone,
I’m THEE Indoor Cat Who Wears a Mask,15412237,"Los Angeles, CA",2023-01-22 03:44:32,"@afrosabi I love Beecher‘s too, from Pike Place Market in Seattle. I believe they still ship. They were selling fro… https://t.co/hyH613NHJ2",0,Twitter for iPhone,
Catherine Johann 🌎,1455582780033695746,"Topanga, CA",2023-01-22 03:24:34,"@black_seattle @IanGill78247934 Yes, humbled and grateful everyday 🙏",0,Twitter for iPhone,
Jeffrey Feddersen,32796267,"Malibu, CA",2023-01-22 03:19:18,"@ThatAstrosGirl That’s right. Love me or leave me alone. Hold me, or just let me go. Chasing people is just exhaust… https://t.co/jMG3wZdiVh",0,Twitter for iPhone,
Bruce,2379011534,"Los Angeles, CA",2023-01-22 03:08:09,"@EndWokeness I visited ATL back in 2021 when CA was full of masks and lockdowns. I was pleased with how ""unwoke"" it… https://t.co/p8051BX242",0,Twitter for iPhone,
Travel Itinerary Guru,918927680271032320,"Los Angeles, CA",2023-01-22 02:30:21,"5.) Seattle to Los Angeles via Coast Starlight Train: 

35 hours and 21 minutes",0,Twitter for iPhone,
Travel Itinerary Guru,918927680271032320,"Los Angeles, CA",2023-01-22 02:30:20,"3.) Chicago to Seattle via Empire Builder Train: 

46 hours and 24 minutes",0,Twitter for iPhone,
The 4th Wave AI,3315496315,"Beverly Hills, CA",2023-01-22 02:25:39,"Google's treasured AI unit gets swept up in 12,000 job cuts | The Seattle Times - https://t.co/PuwcFB9aks #AI",0,Twitter Web App,
"Still here, sigh",309758606,"Los Angeles, CA",2023-01-22 02:25:38,@JohnBauters @wmata Seattle does this well. Chicago too.,0,Twitter Web App,
Wes Hightower,1518663735295963136,Hermosa Beach CA,2023-01-22 02:16:48,@ClownWorld_ Let Atlanta burn. Seattle and Portland too...,0,Twitter for Android,
Mama Rosa @ esports,50436095,"Los Angeles, CA",2023-01-22 02:04:06,".@HeyItsThor_ got me a bunch of Halo swag from Worlds in Seattle last year. Finally got that along with a sock!
Ros… https://t.co/HWuwxlbaQ0",0,Twitter for iPhone,
kay,1939417292,"La Canada Flintridge, CA",2023-01-22 01:23:24,If Brad Lambert doesn’t play tonight I’m canceling my season tickets to the Seattle thunderbirds - which I definitely have purchased,0,Twitter for iPhone,
The Bannermen Podcast,872228666322726912,"Los Angeles, CA",2023-01-22 01:22:34,Can’t think of a worse time for shit to go bad for the Kings. Edmonton is on an absolute scorcher with a sweetheart… https://t.co/JYpWCSX9OK,0,Twitter for iPhone,
Dobber Sports News,1577495758051459073,Ontario,2023-01-22 01:20:17,"Cale Makar #GoAvsGo (9 PTS in last 6 GP)

Makar will be a game-time decision Saturday versus Seattle, per Kyle Fred… https://t.co/hok9ao3hlF",0,Dobber Sports News,
Grace Freud,3072869411,LA,2023-01-22 01:15:26,Hi @maro254 will you please come to me and @autogynefiles' show in Seattle on 4/5 at The Crocodile? We are both big fans of Roseanne.,0,Twitter Web App,
MAR,1618957214,,2023-01-22 00:56:58,"SF trip
2 Vegas trips 
Seattle for a rave trip
30th bday in Aug 
Wedding October 
Gonna be a busy year but let’s FUCKEN go!!",0,Twitter for iPhone,
morgan.alonso,996535599996665856,"Redondo Beach, CA",2023-01-22 00:39:09,@ErasTourResell seattle plsss,0,Twitter for iPhone,
Alan-Michael,17822968,Los Angeles,2023-01-22 00:36:10,I miss Seattle. A thread. https://t.co/7pO2jCVDAz,0,Twitter Web App,
flipboitamidles (DAMN%),19516129,"Pomona, CA",2023-01-22 00:18:43,hi seattle https://t.co/0ROY9GTZCM,0,Twitter for iPhone,
Tabatha Marshal 🇺🇦🇺🇲,1230842951678517248,"Los Angeles, CA",2023-01-22 00:12:05,"@NosDrewz Am I right?
America's Canada 😃
Folk in Seattle got real salty when I said it.
But 4 days it rained with 2 breaks 🤷🏻‍♀️",0,Twitter for Android,
Darin B.,1559937855337598976,LOS ANGELES,2023-01-22 00:10:28,"Is it me or does every playoff game seem like a repeat or double repeat of an in season match up?  Bmore vs Cincy,… https://t.co/UIEVcW6HNC",0,Twitter Web App,
Daily Bruin Sports,19887325,"Los Angeles, CA",2023-01-22 00:02:42,No. 4 @uclagymnastics continued its hot start to the season with a win over No. 22 Washington in Seattle to kick of… https://t.co/yWSn351Yjg,1,Twitter Web App,
Ryan Duffin,375898136,"Long Beach, CA",2023-01-21 23:56:41,@led31180 First saw them in 1994 at DV8 in Seattle! They're even better live now.,0,Twitter Web App,
"Edgar Salmingo, Jr. ✌️",234174988,"Los Angeles, CA",2023-01-21 23:52:32,"@PanthersDrafter Yeah, last off-season. But he re-signed with Seattle.",0,Twitter for iPhone,
David Weigel,13524182,Los Angeles,2023-01-21 23:39:18,"@JohnBauters @wmata Phoenix, Seattle, Denver, Salt Lake City, Chicago, San Francisco",0,Twitter for iPhone,
Susan Logoreci,17198380,Los Angeles,2023-01-21 23:22:29,@JohnBauters @wmata Seattle and San Francisco,0,Twitter for iPhone,
Z. David Van Norman,487319678,"Los Angeles, CA",2023-01-21 23:04:17,"📏
Pretty Woman
Sleepless in Seattle
When Harry Met Sally

🌈
Trick
But I’m A Cheerleader
The Birdcage https://t.co/FJTp0wWonM",0,Twitter for iPhone,
Chad Hampton,251480392,"Altadena, Ca.",2023-01-21 22:57:40,@tygerp25 Congratulations on the new gig. Seattle improves by adding a Tyger. 💪👍🙏🏻,0,Twitter for iPhone,
niles (PDX 2/16-2/17 SEA 2/18),39975511,"Los Angeles, CA",2023-01-21 22:51:35,"for my bday weekend I’m performing live in:
PORTLAND (2/16-2/17)

SEATTLE (2/18)",4,Twitter for iPhone,
OnlyTheo💸💯,1046222155,"Los Angeles, CA",2023-01-21 22:38:53,Come to Seattle https://t.co/hJ7rmih1jW,0,Twitter for iPhone,
Brandon,712153284,"Simi Valley, CA",2023-01-21 22:09:58,Do any of you live around the Seattle area?,0,Twitter for Android,
The Voice of Julie Slater,138507740,Los angeles,2023-01-21 22:09:31,Workin’ the dish pit. Ben’s early Seattle days - before the hip cool Seattle music scene existed. Episode 117.… https://t.co/4y38uj2CIY,0,Twitter for iPhone,
