username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Brian Tyrone Graham,400069026,"Chicago, Illinois USA",2023-01-22 04:00:59,If life does not make sense just be the way I am not in Seattle either. Everything is sooooo boring. https://t.co/AxWYmcV5hq,0,Twitter Web App,
Michael Ben,1561889673718513665,"Alsip, IL",2023-01-22 03:43:12,"@Jimetal Here's what you've been waiting for, Jesus was not from Seattle.

#Bible #JesusChrist",0,Twitter for Android,
Maggs Konerko,1519653543405363202,"Chicago, IL",2023-01-22 02:16:10,@ledzep33 @LastComiskey I gotta disagree with u on that one. Saved the Sox from moving to Seattle and Denver. Was t… https://t.co/y7y9BI1lKH,1,Twitter for Android,
"Changed My Name To “We were right all along""",1105261886331932673,Chicago,2023-01-22 02:02:59,"@TamerLikeHammer @CTULocal1 Can you share one example of ""CPD torture"", Seattle dweller that doesn't have a grasp on proper grammar?",0,Twitter Web App,
B²,718748041,"Chicago, IL",2023-01-22 01:10:37,@JamesPalmerTV Happy for this guy. A guy who was traded by Seattle now enjoying his chickens in Kc,0,Twitter for iPhone,
Ashes Wolf,932415073385099266,"Chicago, IL",2023-01-22 01:05:00,"I'm going to Seattle next month, any friends out there want to meet up? I'm trying to make a plan before I book my flight.",0,Twitter Web App,
Alex,16867288,"Chicago, IL",2023-01-22 00:56:41,"when i saw this piece, i immediately recognized it as a Dale Chihuly work and went on a whole lecture about how he’… https://t.co/PS0nul9Ocn",1,Twitter for iPhone,
Kevin Sweeney,4903368970,"Chicago, IL",2023-01-22 00:52:39,"Seattle U just ran away from Southern Utah and is now 7-0 in the WAC. 

Coach Chris Victor has done an unreal job:… https://t.co/zY5CPfZq3z",5,Twitter for iPhone,
Spreet,1439485562,Chicago,2023-01-22 00:30:11,@JIDsv SEATTLE ABOUT TO BE LIT 🤩🔥 https://t.co/A3YE2V3qx9,0,Twitter for Android,
Spreet,1439485562,Chicago,2023-01-22 00:02:50,@WynStarks they playing you at the Pop Culture museum in Seattle 🔥 https://t.co/dQv3uaoUJR,0,Twitter for Android,
coffeegirl_75,103080607,,2023-01-21 23:23:01,"I love coffee but also really enjoy exploring librarys with funky architecture - anyone else?!?  Vancouver,  Seattl… https://t.co/2j0nWLKg9H",0,Twitter for iPhone,
Jared Michael,372546564,"Chicago, IL",2023-01-21 23:06:29,@nut_history The man’s a legend. He drank 50 beers on a cross-country flight and then absolutely destroyed the Seat… https://t.co/bT38KnrO6O,0,Twitter for iPhone,
K.S. Teknon,1042424750771978240,"Chicago, IL",2023-01-21 21:15:46,"Me, walking home from work in downtown Seattle, age 18, lighting up one of these suckers and thinking I'm Siouxie S… https://t.co/RMfA170Ktb",0,Twitter Web App,
The Sky Show CHI,867056578113024000,"Chicago, IL",2023-01-21 20:57:50,"Did anyone else post the Stewie IG posts from the very early start of #wnbafreeagency👀👀

Emojis only, a #WNBAxPuma… https://t.co/cuB2hqKrGF",0,Twitter for iPhone,
BICYCLE MENACE,1019116318782566401,"Chicago, IL",2023-01-21 20:54:04,"@seattlehusky93 how could i give any score but a 6.9/10 to the city with the S.L.U.T.? 
Seattle’s really cool, GORG… https://t.co/8MgO5MFZYg",0,Twitter for iPhone,
Bill Enck,785865217431318528,"Naperville, IL",2023-01-21 20:13:00,"Seattle Mariners 
Twins Enterprise Bobbling Head Doll
$15.00 dlvd https://t.co/H8V1RfgmQ3",1,Twitter for iPhone,
Jaded,1264463261707223046,"Chicago, IL",2023-01-21 18:59:44,@nathaliejacoby1 Seattle🌧️,0,Twitter for iPhone,
𝓜𝓼. 𝓚𝓪𝓽𝓲𝓮,32882761,"Chicago, IL",2023-01-21 18:23:55,"@JMiracl75258366 SAlt literally did this to my union in Chicago, just as they did this to Starbucks organizing, and… https://t.co/qF4pHQyEgQ",0,Twitter for Android,
tippet523,29628143,"Winnetka, IL",2023-01-21 18:07:06,@GBraggsJr23 Who has had more painful ends to the year.  My Boilers or My packers.  Seattle and Virginia games were the worst,0,Twitter for iPhone,
